65422,ozone,Avast Support,Avast Support,joel,http://virtual-support.org/support-for-avast.php?pn=1-877-888-2561
65422,ozone,Avast Support,Avast Support,joel,http://virtual-support.org/support-for-avast.php?pn=1-877-888-2561
65422,ozone,Avira Support,Avira Support,joel,http://virtual-support.org/antivirus.php?pn=1-877-888-2561
65422,ozone,Avira Support,Avira Support,joel,http://virtual-support.org/antivirus.php?pn=1-877-888-2561
65422,ozone,BitDefender Support,BitDefender Support,joel,http://virtual-support.org/
65422,ozone,BitDefender Support,BitDefender Support,joel,http://virtual-support.org/
65422,ozone,BitDefender Support,BitDefender Support,joel,http://virtual-support.org/
65422,ozone,BitDefender Support,BitDefender Support,joel,http://virtual-support.org/
65422,ozone,Symantec Support,Symantec Support,joel,http://virtual-support.org/symantec-support.php?pn=1-877-888-2561
65422,ozone,Symantec Support,Symantec Support,joel,http://virtual-support.org/symantec-support.php?pn=1-877-888-2561
65422,ozone,TrendMicro Support,TrendMicro Support,joel,http://virtual-support.org/trend-support.php?pn=1-877-888-2561
65422,ozone,TrendMicro Support,TrendMicro Support,joel,http://virtual-support.org/trend-support.php?pn=1-877-888-2561
64950,intra9,Spyhunter ZA - Blacklist,Malware,vic,http://ztrk.info/trk/base.php?c=515&key=517f44af7dfc65217a249b568e652e2d&keyword=<<TERMS_HTML_KW>>&aff=<<AFFSUB>>&terms=<<TERMS>>
64861,winmarkltd,Download 64673,AdGroup #1,joel,http://statstrackhq.com/base.php?c=546&key=a46513d91a15e3a9c2b4962fbb9568bd&kw=<<TERMS_HTML_KW>>&affsub=<<AFFSUB>>&terms1=<<TERMS_HTML>>&creative=02
65776,imedia2,iTunes Pro,AdGroup #1,vic,http://winsoftwareupdate.com/itunes/
65776,imedia2,iTunes Pro,AdGroup #1 Phrase,vic,http://winsoftwareupdate.com/itunes/
64419,OutBrowse,QuickTime-US - cpa 46cts,AdGroup #1,Jacqueline,http://www.amazingapps4u.com/windows/video-software/video-players/quicktime/?pid=3456&distid=24542&d2=18000
64419,OutBrowse,QuickTime-US - cpa 46cts,AdGroup #1,Jacqueline,http://www.amazingapps4u.com/windows/video-software/video-players/quicktime/?pid=3456&distid=24542&d2=18000
64419,OutBrowse,CCleaner-US - cpa 59cts,adgroup#1,Jacqueline,http://www.amazingapps4u.com/windows/system-utilities/system-maintenance/ccleaner/?pid=3456&distid=24542&d2=12000
64419,OutBrowse,CCleaner-US - cpa 59cts,adgroup#1,Jacqueline,http://www.amazingapps4u.com/windows/system-utilities/system-maintenance/ccleaner/?pid=3456&distid=24542&d2=12000
64950,intra9,SpyHunter NL - Blacklist,Malware,vic,http://ztrk.info/trk/base.php?c=514&key=568f975184632eb34904557b2be9c8c0&keyword=<<TERMS_HTML_KW>>&aff=<<AFFSUB>>&terms=<<TERMS>>
64950,intra9,SpyHunter NL - Blacklist,Malware,vic,http://ztrk.info/trk/base.php?c=514&key=568f975184632eb34904557b2be9c8c0&keyword=<<TERMS_HTML_KW>>&aff=<<AFFSUB>>&terms=<<TERMS>>
64419,OutBrowse,Samsung Kies - cpa 57cts,AdGroup #1,Jacqueline,http://www.amazingapps4u.com/windows/communications/telephony/samsung-kies/?pid=3456&distid=24542&d2=27000
64419,OutBrowse,Samsung Kies - cpa 57cts,AdGroup #1,Jacqueline,http://www.amazingapps4u.com/windows/communications/telephony/samsung-kies/?pid=3456&distid=24542&d2=27000
65776,imedia2,Java update,Java Update,vic,http://www.winsoftwareupdate.com/java/b/
65989,installertech,Installer IY,IY ONLY,mikep,http://click.bounceads.net/click.php/campaign3/campaign.php?ID=adcmiy&sub=adcmiy&subid=<<AFFSUB>>
65989,installertech,Installer IY,test-july,mikep,http://click.bounceads.net/click.php/campaign3/campaign.php?ID=adcmiy&sub=adcmiy&subid=<<AFFSUB>>
65989,installertech,Installer IY,AD - WL-61404-9931af9b-c98,mikep,http://click.bounceads.net/click.php/campaign3/campaign.php?ID=adcmiy&sub=adcmiy&subid=<<AFFSUB>>
65989,installertech,Installer IY,IY ONLY-Whitelist,mikep,http://click.bounceads.net/click.php/campaign3/campaign.php?ID=adcmiy&sub=adcmiy&subid=<<AFFSUB>>
65989,installertech,Installer IY,December test,mikep,http://click.bounceads.net/click.php/campaign3/campaign.php?ID=adcmiy&sub=adcmiy&subid=<<AFFSUB>>
64950,intra9,Spyhunter NO - Blacklist,Main,vic,http://ztrk.info/trk/base.php?c=516&key=5eb3d87fc0fc1f56f5529db40156bf2f&keyword=<<TERMS_HTML_KW>>&aff=<<AFFSUB>>&terms=<<TERMS>>
65440,stackmedia,Vid Min ERON,AdGroup #1,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=3815310685001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
65440,stackmedia,Vid Min ERON,AdGroup #1,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=3815844596001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
65440,stackmedia,Vid Min ERON,AdGroup #1,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=3815844599001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
65440,stackmedia,Vid Min ERON,AdGroup #1,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=3815310684001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
65440,stackmedia,Vid Min ERON,AdGroup #1,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=2303191357001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
65440,stackmedia,Vid Min ERON,AdGroup #2,joel,http://www.stack.com/video_min/?plid=3507185913001&vid=3815310685001&utm_source=advertise&utm_medium=cpc&utm_content=<<AFFSUB>>&utm_campaign=Group3_ERON_VidMinNoBanner
